year	regime	baseline	democ	autoc
1987.0	0.0	2.5	3.0	
1987.0	0.0	2.5	3.0	
1991.0	0.0	2.5	3.0	
1991.0	0.0	2.5	3.0	
1995.0	1.0	2.5		2.0
1999.0	0.0	2.5	3.0	
2003.0	0.0	2.5	3.0	
2007.0	0.0	2.5	3.0	
2011.0	0.0	2.5	3.0	
2015.0	0.0	2.5	3.0	
2019.0	0.0	2.5	3.0	
2023.0	0.0	2.5	3.0	
1948.0	0.0	5.0	5.5	
1952.0	0.0	5.0	5.5	
1956.0	0.0	5.0	5.5	
1960.0	0.0	5.0	5.5	
1964.0	0.0	5.0	5.5	
1968.0	0.0	5.0	5.5	
1972.0	0.0	5.0	5.5	
1976.0	0.0	5.0	5.5	
1980.0	0.0	5.0	5.5	
1984.0	1.0	5.0		4.5
1988.0	0.0	5.0	5.5	
1992.0	0.0	5.0	5.5	
1994.0	0.0	5.0	5.5	
1998.0	0.0	5.0	5.5	
2002.0	0.0	5.0	5.5	
2006.0	0.0	5.0	5.5	
2010.0	0.0	5.0	5.5	
2014.0	1.0	5.0		4.5
2018.0	0.0	5.0	5.5	
2022.0	1.0	5.0		4.5
1948.0	0.0	7.5	8.0	
1952.0	0.0	7.5	8.0	
1956.0	0.0	7.5	8.0	
1960.0	0.0	7.5	8.0	
1964.0	0.0	7.5	8.0	
1968.0	1.0	7.5		7.0
1972.0	0.0	7.5	8.0	
1976.0	0.0	7.5	8.0	
1980.0	1.0	7.5		7.0
1984.0	0.0	7.5	8.0	
1988.0	1.0	7.5		7.0
1992.0	0.0	7.5	8.0	
1996.0	0.0	7.5	8.0	
2000.0	0.0	7.5	8.0	
2004.0	0.0	7.5	8.0	
2008.0	1.0	7.5		7.0
2012.0	0.0	7.5	8.0	
2016.0	0.0	7.5	8.0	
2020.0	0.0	7.5	8.0	
2024.0	0.0	7.5	8.0	
1983.0	0.0	10.0	10.5	
1987.0	0.0	10.0	10.5	
1991.0	0.0	10.0	10.5	
1993.0	0.0	10.0	10.5	
1995.0	0.0	10.0	10.5	
1997.0	0.0	10.0	10.5	
1999.0	0.0	10.0	10.5	
2001.0	0.0	10.0	10.5	
2003.0	0.0	10.0	10.5	
2005.0	0.0	10.0	10.5	
2007.0	0.0	10.0	10.5	
2009.0	0.0	10.0	10.5	
2011.0	0.0	10.0	10.5	
2013.0	1.0	10.0		9.5
2015.0	1.0	10.0		9.5
2017.0	0.0	10.0	10.5	
2019.0	1.0	10.0		9.5
2022.0	0.0	10.0	10.5	
2023.0	1.0	10.0		9.5
1947.0	1.0	12.5		12.0
1948.0	0.0	12.5	13.0	
1949.0	0.0	12.5	13.0	
1950.0	0.0	12.5	13.0	
1951.0	0.0	12.5	13.0	
1952.0	0.0	12.5	13.0	
1953.0	0.0	12.5	13.0	
1954.0	0.0	12.5	13.0	
1955.0	0.0	12.5	13.0	
1956.0	0.0	12.5	13.0	
1957.0	1.0	12.5		12.0
1958.0	0.0	12.5	13.0	
1959.0	1.0	12.5		12.0
1960.0	0.0	12.5	13.0	
1961.0	0.0	12.5	13.0	
1962.0	0.0	12.5	13.0	
1963.0	0.0	12.5	13.0	
1964.0	0.0	12.5	13.0	
1965.0	0.0	12.5	13.0	
1966.0	1.0	12.5		12.0
1967.0	0.0	12.5	13.0	
1968.0	0.0	12.5	13.0	
1969.0	0.0	12.5	13.0	
1970.0	0.0	12.5	13.0	
1971.0	0.0	12.5	13.0	
1972.0	1.0	12.5		12.0
1973.0	1.0	12.5		12.0
1974.0	0.0	12.5	13.0	
1975.0	0.0	12.5	13.0	
1976.0	1.0	12.5		12.0
1977.0	0.0	12.5	13.0	
1978.0	1.0	12.5		12.0
1979.0	1.0	12.5		12.0
1981.0	0.0	12.5	13.0	
1982.0	0.0	12.5	13.0	
1983.0	0.0	12.5	13.0	
1985.0	1.0	12.5		12.0
1986.0	1.0	12.5		12.0
1987.0	0.0	12.5	13.0	
1989.0	0.0	12.5	13.0	
1990.0	0.0	12.5	13.0	
1991.0	0.0	12.5	13.0	
1992.0	0.0	12.5	13.0	
1993.0	0.0	12.5	13.0	
1994.0	0.0	12.5	13.0	
1995.0	0.0	12.5	13.0	
1996.0	0.0	12.5	13.0	
1997.0	0.0	12.5	13.0	
1998.0	0.0	12.5	13.0	
1999.0	0.0	12.5	13.0	
2000.0	1.0	12.5		12.0
2001.0	0.0	12.5	13.0	
2002.0	0.0	12.5	13.0	
2003.0	0.0	12.5	13.0	
2004.0	0.0	12.5	13.0	
2005.0	0.0	12.5	13.0	
2006.0	0.0	12.5	13.0	
2007.0	1.0	12.5		12.0
2008.0	0.0	12.5	13.0	
2009.0	0.0	12.5	13.0	
2010.0	0.0	12.5	13.0	
2011.0	0.0	12.5	13.0	
2012.0	0.0	12.5	13.0	
2012.0	0.0	12.5	13.0	
2013.0	0.0	12.5	13.0	
2013.0	0.0	12.5	13.0	
2014.0	1.0	12.5		12.0
2015.0	0.0	12.5	13.0	
2016.0	1.0	12.5		12.0
2017.0	0.0	12.5	13.0	
2017.0	0.0	12.5	13.0	
2018.0	0.0	12.5	13.0	
2019.0	0.0	12.5	13.0	
2020.0	0.0	12.5	13.0	
2021.0	1.0	12.5		12.0
2021.0	0.0	12.5	13.0	
2022.0	0.0	12.5	13.0	
2023.0	1.0	12.5		12.0
2024.0	0.0	12.5	13.0	
1950.0	1.0	15.0		14.5
1954.0	0.0	15.0	15.5	
1958.0	0.0	15.0	15.5	
1962.0	0.0	15.0	15.5	
1966.0	0.0	15.0	15.5	
1970.0	1.0	15.0		14.5
1974.0	0.0	15.0	15.5	
1978.0	1.0	15.0		14.5
1982.0	0.0	15.0	15.5	
1986.0	1.0	15.0		14.5
1990.0	0.0	15.0	15.5	
1991.0	1.0	15.0		14.5
1994.0	0.0	15.0	15.5	
1995.0	0.0	15.0	15.5	
1998.0	0.0	15.0	15.5	
1999.0	0.0	15.0	15.5	
2002.0	0.0	15.0	15.5	
2002.0	0.0	15.0	15.5	
2003.0	0.0	15.0	15.5	
2006.0	0.0	15.0	15.5	
2007.0	1.0	15.0		14.5
2010.0	0.0	15.0	15.5	
2011.0	0.0	15.0	15.5	
2014.0	0.0	15.0	15.5	
2015.0	0.0	15.0	15.5	
2018.0	1.0	15.0		14.5
2019.0	0.0	15.0	15.5	
2022.0	1.0	15.0		14.5
